,stname,area,elev,east,north
0,D09A002,61.7,1210,31.09111111111111,37.71166666666667
1,D09A006,195.0,38,32.61666666666667,36.55
2,D09A011,130.7,1190,30.05,37.13333333333333
3,D09A013,195.0,33,32.61666666666667,36.55
4,D09A016,3728.0,0,30.86972222222222,37.64944444444444
5,D09A042,48.7,0,30.52972222222222,37.64388888888889
6,D09A056,1781.5,96,30.75583333333333,36.93861111111111
7,D09A057,185.0,945,30.95444444444444,38.29944444444444
8,D09A060,111.2,925,30.89861111111111,37.83944444444445
9,D09A065,103.48,1160,31.13277777777778,38.39055555555556
10,D09A067,303.2,100,31.62277777777778,36.74388888888889
11,D09A073,294.4,0,30.60333333333334,38.13444444444444
12,D09A075,988.96,940,30.98333333333333,38.13333333333333
13,D09A076,1.0,100,30.72583333333333,36.96611111111111
14,D09A084,45.4,100,32.06666666666667,36.58333333333334
15,D09A086,349.0,0,31.12416666666667,37.62472222222222
16,D09A088,130.9,0,31.97805555555555,37.4775
17,D09A089,313.9,0,30.90833333333333,37.46388888888889
18,D09A091,0.0,300,2000.008333333333,35.01027777777778
19,D09A095,164.0,160,30.46722222222222,36.825
20,D09A100,223.0,1067,31.15638888888889,37.66027777777778
21,D09A102,84.89,1060,30.125,37.03916666666667
22,D09A104,12.75,403,30.73416666666667,37.20277777777778
23,D09A106,32.21,1002,30.19361111111111,37.32888888888889
24,D09A110,53.48,975,37.125,30.22333333333333
25,D09A111,105.8,145,38.50138888888889,36.89166666666667
4,D09A034,238.6,63,30.94222222222222,37.13166666666667
5,D09A039,217.7,829,30.3725,37.51222222222222
19,D09A094,182.0,430,30.45388888888889,36.9675
12,D09A068,336.32,16,31.81416666666667,36.62444444444444
13,D09A069,1000.0,975,30.16666666666667,37.61666666666667
14,D09A070,1.0,1100,30.16666666666667,37.08333333333334
24,D09A101,2330.0,20,31.2,36.97444444444444
23,D09A103,1.0,20,30.61555555555556,36.89833333333333
28,D09A114,22.54,75,36.88722222222222,31.3125
29,D09A116,0.0,90,194.4233333333333,15.61444444444444
30,D09A123,43.0,0,37.61944444444445,30.75805555555555
19,D09A090,21.4,0,31.09583333333333,37.84194444444444
22,D09A098,546.4,73,30.8,37.23944444444444
30,D09A117,10.03,392,31.78916666666667,36.70916666666667
31,D09A118,5.3,75,31.26333333333333,36.93111111111111
32,D09A120,6.53,995,31.47166666666666,37.07333333333334
32,D09A119,66.2,947,30.25861111111111,37.1975
34,D09A121,20.85,1327,30.35555555555556,36.88916666666667
4,D09A031,404.6,52,30.55833333333333,36.92305555555555
32,D09A122,144.84,80,31.28472222222222,36.99166666666667
34,D09A124,42.6,147,30.08416666666666,37.1
36,D09A125,11.6,890,30.30361111111111,37.11305555555555
37,D09A126,5.8,910,30.29527777777778,37.13666666666666
37,D09A127,45.0,210,31.96111111111111,36.63222222222223
37,D09A131,215.87,1079,30.12777777777778,37.09888888888889
38,D09A132,9.12,441,31.20388888888889,37.3125
38,D09A133,7.71,718,31.27083333333333,37.41166666666666
38,D09A134,69.7,1023,30.94861111111111,37.82527777777778
37,D09A135,,61,31.64472222222222,36.7775
38,E09A002,1942.4,116,31.18861111111111,37.14166666666667
39,E09A012,625.6,245,31.60861111111111,36.97944444444445
40,E09A017,875.5,28,31.72666666666667,36.69694444444444
41,E09A018,1324.4,4,31.45166666666666,36.81666666666667
42,E09A020,438.0,432,31.65805555555555,37.07444444444445
43,E09A021,1005.5,738,31.2025,37.52166666666667
44,E09A022,396.3,382,32.10722222222223,36.78138888888889
45,E09A024,611.0,250,32.01666666666667,36.75916666666667
46,E09A029,30.2,163,30.43888888888889,36.4475
47,E09A030,32.9,146,31.19027777777778,37.14944444444444
48,E09A031,4987.8,297,30.79388888888889,37.51
49,E09A032,90.9,150,31.29333333333334,37.03694444444444
50,E09A033,1592.0,415,31.16833333333333,37.29111111111111
23,D09A098_X,5546.4,73,30.805,37.27083333333334
