stname,Unnamed: 0,area,elev,east,north
D07A015,5,54.0,231.15,27.85,42.1
D07A071,17,4203.0,758.0,29.43333333333333,38.05
D07A075,18,215.3,1010.0,30.20111111111111,38.12
D07A079,19,123.0,365.0,28.1,37.3
D07A082,21,184.0,1110.0,28.03333333333333,37.75
D07A087,23,46.2,1067.0,30.07583333333333,38.38888888888889
D07A093,24,34.5,0.0,28.8,37.7
D07A096,25,41.0,450.0,28.13333333333333,37.25
D07A097,26,70.0,425.0,28.2,37.33333333333334
D07A099,28,63.0,395.0,28.2,37.3
D07A100,29,63.5,336.0,28.0,37.4
D07A103,31,212.0,15.0,27.53333333333333,37.71666666666667
